country_name,country_code,anho,GC.DOD.TOTL.CN,GC.DOD.TOTL.GD.ZS,SP.DYN.CBRT.IN
Albania,ALB,2014 [YR2014],1023040800000,73.3202469198429,12.259
Albania,ALB,2015 [YR2015],1145500940000,79.8644448747259,12.197
Albania,ALB,2016 [YR2016],1188814490000,80.7355748396923,12.08
Australia,AUS,2014 [YR2014],674700000,0.042207528166503,13.2
Australia,AUS,2015 [YR2015],762718000,0.0469480198522591,12.9
Australia,AUS,2016 [YR2016],907555000,0.054648482520169,12.9
"Bahamas, The",BHS,2014 [YR2014],5158420000,47.2672793747079,14.34
"Bahamas, The",BHS,2015 [YR2015],5655150000,48.1195170307089,14.224
"Bahamas, The",BHS,2016 [YR2016],6138814000,51.4207431481606,14.131
Barbados,BRB,2014 [YR2014],12175704025,129.629591844133,10.916
Barbados,BRB,2015 [YR2015],13365027241,141.413895259761,10.806
Belarus,BLR,2014 [YR2014],19781184418,24.5487262642116,12.5
Belarus,BLR,2015 [YR2015],33804450453.3197,37.5981780556757,12.5
Belarus,BLR,2016 [YR2016],37941765765.7758,39.960153098796,12.4
Belize,BLZ,2014 [YR2014],2609974000,78.4811739351877,22.067
Bhutan,BTN,2014 [YR2014],1.0837e+11,89.8206297688459,17.965
Bhutan,BTN,2015 [YR2015],120783002000,91.4048311527287,17.783
Bhutan,BTN,2016 [YR2016],160562057000,107.650111182046,17.625
Botswana,BWA,2014 [YR2014],25447260000,17.4453597097219,26.87
Botswana,BWA,2015 [YR2015],26159246269.7519,17.9091592446388,26.44
Botswana,BWA,2016 [YR2016],25986219844.0603,15.235498922983,25.943
Brazil,BRA,2014 [YR2014],3378218222290.28,58.4572609903155,14.624
Brazil,BRA,2015 [YR2015],4049407884511.51,67.5375540277116,14.472
Brazil,BRA,2016 [YR2016],4602865624505.08,73.4436742456179,14.307
Colombia,COL,2014 [YR2014],6.07904432e+14,79.683056954816,15.725
Colombia,COL,2015 [YR2015],5.36470607e+14,66.6678191158853,15.515
Colombia,COL,2016 [YR2016],495859665995031,57.4056493415041,15.308
El Salvador,SLV,2014 [YR2014],11486057983.75,50.8390120114637,18.881
El Salvador,SLV,2015 [YR2015],12018755226.09,51.2789283475126,18.734
El Salvador,SLV,2016 [YR2016],12595426766.26,52.1463391829925,18.587
Georgia,GEO,2014 [YR2014],1.0313e+10,33.1350946694041,14.165
Georgia,GEO,2015 [YR2015],13109400000,38.6309120377192,14.078
Georgia,GEO,2016 [YR2016],15102700000,42.1439334747182,13.925
Guatemala,GTM,2014 [YR2014],1.05781e+11,23.2970727082014,25.992
Guatemala,GTM,2015 [YR2015],112211600000,22.9881410888278,25.627
Guatemala,GTM,2016 [YR2016],115404600000,22.115072091399,25.267
Hungary,HUN,2014 [YR2014],3.1995288e+13,97.8622513198668,9.5
Hungary,HUN,2015 [YR2015],3.3299616e+13,95.7292531617753,9.4
Hungary,HUN,2016 [YR2016],3.4527404e+13,96.1864484805675,9.7
Indonesia,IDN,2014 [YR2014],2898383597986100,27.4216121994064,19.537
Indonesia,IDN,2015 [YR2015],3493530747415080,30.309126137804,19.165
Indonesia,IDN,2016 [YR2016],3889949813238980,31.366190714778,18.79
Ireland,IRL,2014 [YR2014],2.36301e+11,121.293079734391,14.4
Ireland,IRL,2015 [YR2015],2.32665e+11,88.5218484996919,13.9
